   200
   150   150
     1    37    29
     2    77    84
     3    24    29
     4    30    26
     5    32    30
     6    74    70
     7    67    68
     8    30    21
     9    87    96
    10    69    77
    11    74    78
    12    66    69
    13    36    31
    14    82    81
    15    89    87
    16    47    51
    17    55    50
    18    77    72
    19    24    18
    20    73    65
    21    29    21
    22    44    50
    23    55    45
    24    27    18
    25    30    28
    26    82    92
    27    68    59
    28    60    52
    29    74    64
    30    75    67
    31    54    60
    32    30    22
    33    46    40
    34    94    96
    35    31    26
    36    62    59
    37    98    97
    38    76    75
    39    42    44
    40    66    63
    41    87    91
    42    67    74
    43    80    77
    44    62    53
    45    57    51
    46    58    55
    47    81    79
    48    92    94
    49    81    80
    50    66    73
    51    91    82
    52    68    70
    53    94    91
    54    55    56
    55    20    26
    56    88    96
    57    63    56
    58    97    88
    59    46    46
    60    36    42
    61    58    55
    62    49    43
    63    54    53
    64    64    69
    65    97   105
    66    37    31
    67    35    29
    68    29    33
    69    64    54
    70    50    54
    71    86    87
    72    56    64
    73    30    25
    74    28    27
    75    92    98
    76    55    62
    77    94    93
    78    93    99
    79    44    44
    80    45    44
    81    59    66
    82    78    73
    83    40    41
    84    70    79
    85    77    67
    86    81    84
    87    45    37
    88    41    48
    89    86    93
    90    65    61
    91    49    54
    92    55    47
    93    49    51
    94    21    26
    95    69    68
    96    78    86
    97    39    44
    98    48    54
    99    72    68
   100    21    27
   101    72    67
   102    31    36
   103    47    56
   104    60    64
   105    34    29
   106    39    32
   107    93    88
   108    82    89
   109    75    73
   110    91    98
   111    94    93
   112    76    80
   113    53    54
   114    71    64
   115    41    33
   116    60    55
   117    93   101
   118    51    51
   119    32    23
   120    79    83
   121    26    36
   122    48    55
   123    31    32
   124    45    46
   125    29    34
   126    26    25
   127    29    22
   128    54    58
   129    67    65
   130    58    64
   131    45    50
   132    72    71
   133    51    51
   134    80    86
   135    42    43
   136    89    85
   137    79    88
   138    56    60
   139    92    85
   140    43    36
   141    36    44
   142    59    49
   143    52    49
   144    59    52
   145    71    81
   146    26    30
   147    48    48
   148    48    58
   149    44    35
   150    81    89
   151    69    60
   152    27    26
   153    79    75
   154    55    49
   155    55    64
   156    41    47
   157    86    83
   158    47    47
   159    48    45
   160    82    84
   161    84    75
   162    20    30
   163    42    50
   164    86    91
   165    37    40
   166    46    41
   167    52    51
   168    98    96
   169    96   100
   170    63    57
   171    44    38
   172    30    23
   173    38    29
   174    34    25
   175    88    92
   176    59    68
   177    69    78
   178    32    28
   179    44    52
   180    69    77
   181   100   109
   182    73    81
   183    34    43
   184    53    56
   185    67    76
   186    43    33
   187    50    49
   188    26    17
   189    97    90
   190    92    87
   191    30    25
   192    35    32
   193    99    92
   194    78    78
   195    98   100
   196    70    62
   197    91    97
   198    46    55
   199    86    78
   200    69    62
