   200
  1000  1000
     1    36    56
     2    75    49
     3    69    67
     4    35    28
     5    88    97
     6    71    92
     7    76    79
     8    68    74
     9    40    46
    10    83    59
    11    90    56
    12    51    79
    13    58    44
    14    78    42
    15    28    41
    16    75    33
    17    34    33
    18    48    84
    19    58    26
    20    31    28
    21    34    55
    22    83    99
    23    70    27
    24    62    31
    25    75    26
    26    76    31
    27    57    86
    28    34    33
    29    49    39
    30    94    70
    31    35    44
    32    64    51
    33    98    59
    34    78    59
    35    46    68
    36    69    52
    37    88    79
    38    70    89
    39    81    50
    40    64    28
    41    60    40
    42    61    52
    43    82    57
    44    92    70
    45    82    59
    46    68    89
    47    92    29
    48    70    69
    49    95    52
    50    58    68
    51    25    84
    52    89    93
    53    66    36
    54    97    29
    55    50    64
    56    40    83
    57    61    53
    58    52    40
    59    57    60
    60    66    81
    61    97    94
    62    41    41
    63    39    39
    64    34    78
    65    66    27
    66    53    76
    67    87    67
    68    58    92
    69    35    42
    70    32    60
    71    93    86
    72    58    88
    73    94    57
    74    94    85
    75    48    63
    76    48    59
    77    62    88
    78    80    43
    79    44    65
    80    72    95
    81    79    27
    82    82    75
    83    48    32
    84    44    90
    85    87    90
    86    67    48
    87    52    82
    88    58    34
    89    52    69
    90    26    79
    91    71    57
    92    80    94
    93    42    81
    94    52    85
    95    74    48
    96    26    87
    97    74    42
    98    35    82
    99    51    97
   100    63    79
   101    38    45
   102    43    36
   103    94    45
   104    83    87
   105    76    55
   106    91    90
   107    94    59
   108    77    78
   109    56    65
   110    73    35
   111    45    31
   112    63    44
   113    93    91
   114    54    63
   115    36    28
   116    81    76
   117    30   100
   118    51    90
   119    35    65
   120    48    65
   121    33    83
   122    31    59
   123    33    35
   124    57    79
   125    69    57
   126    60    85
   127    48    80
   128    74    59
   129    54    64
   130    81    86
   131    46    66
   132    90    47
   133    81    95
   134    59    77
   135    92    35
   136    47    34
   137    40    93
   138    62    27
   139    55    53
   140    62    38
   141    73    98
   142    31    76
   143    51    62
   144    51    99
   145    48    28
   146    82    91
   147    71    29
   148    32    60
   149    80    49
   150    58    39
   151    58    96
   152    45    86
   153    87    52
   154    50    61
   155    52    53
   156    83    71
   157    85    31
   158    25    99
   159    45    93
   160    86    80
   161    41    75
   162    50    45
   163    55    58
   164    98    55
   165    96    77
   166    65    41
   167    47    39
   168    34    38
   169    42    28
   170    38    28
   171    89    78
   172    61    95
   173    71    96
   174    36    47
   175    47    91
   176    71    93
   177   100    96
   178    75    91
   179    38    95
   180    56    74
   181    69    96
   182    46    26
   183    53    57
   184    31    30
   185    97    37
   186    92    44
   187    34    43
   188    39    52
   189    99    35
   190    80    61
   191    98    71
   192    72    31
   193    92    84
   194    50    95
   195    87    31
   196    71    35
   197    42    48
   198    69    36
   199    92    66
   200    77    80
