         201
         100         100
           1          35          50
           2          50          47
           3          49          47
           4          38          49
           5          49          33
           6          39          49
           7          49          43
           8          48          46
           9          48          28
          10          40          48
          11          45          48
          12          48          30
          13          27          48
          14          36          48
          15          48          33
          16          38          48
          17          36          48
          18          31          48
          19          47          48
          20          38          48
          21          48          42
          22          44          47
          23          47          44
          24          39          47
          25          39          47
          26          27          47
          27          47          33
          28          35          47
          29          47          38
          30          47          44
          31          36          47
          32          28          46
          33          40          46
          34          43          46
          35          36          46
          36          46          39
          37          34          46
          38          45          46
          39          46          31
          40          31          46
          41          33          46
          42          32          46
          43          28          45
          44          45          28
          45          36          45
          46          44          45
          47          36          45
          48          38          45
          49          28          44
          50          44          40
          51          40          44
          52          37          44
          53          38          44
          54          37          44
          55          44          33
          56          44          28
          57          31          44
          58          44          42
          59          44          27
          60          44          36
          61          44          32
          62          43          41
          63          35          43
          64          43          26
          65          26          43
          66          43          32
          67          30          43
          68          43          31
          69          41          43
          70          40          43
          71          43          31
          72          36          43
          73          28          43
          74          43          36
          75          42          40
          76          40          42
          77          42          28
          78          37          42
          79          42          36
          80          42          18
          81          26          42
          82          42          15
          83          26          42
          84          42           7
          85          42          13
          86          42          35
          87          26          42
          88          22          41
          89          34          41
          90          25          41
          91          41          22
          92          41          32
          93          41          35
          94          30          40
          95          36          40
          96          26          40
          97          22          40
          98          40          12
          99          25          40
         100          21          40
         101          36          40
         102          39          26
         103          39          30
         104          39          19
         105          27          39
         106          39          34
         107          34          39
         108          28          39
         109          39          34
         110          39          32
         111          38          37
         112          38          36
         113          11          38
         114          20          38
         115          38          29
         116          38          28
         117          38          38
         118          37          31
         119          33          37
         120          29          37
         121          30          37
         122          31          37
         123          33          37
         124          37          23
         125          37          33
         126          32          36
         127          34          36
         128          33          36
         129          36          36
         130          36          25
         131          30          36
         132          34          36
         133          36          28
         134          36          34
         135          29          36
         136          36          17
         137          35          17
         138          35          21
         139          35          29
         140          31          34
         141          30          34
         142          34          12
         143          34          30
         144          32          34
         145          28          34
         146          34          28
         147          29          34
         148          11          33
         149          33          28
         150          28          33
         151          33          26
         152          33          22
         153          14          33
         154          18          33
         155          33          28
         156          22          32
         157          21          32
         158          32          19
         159          32          29
         160          31          21
         161          31          31
         162          31          17
         163          27          31
         164          30          31
         165          30          28
         166          30          30
         167          30          25
         168          18          29
         169          29          26
         170          29          27
         171          16          29
         172          27          28
         173          13          28
         174          27          28
         175          23          27
         176          26          27
         177          25          27
         178          27          22
         179          25          26
         180          25           7
         181          25          25
         182          16          25
         183          24          17
         184          24           7
         185          24          12
         186          14          24
         187          18          23
         188          16          22
         189          22          14
         190          22          22
         191          21          10
         192          21          20
         193          21           9
         194          21          21
         195          19           6
         196          18           5
         197          17          10
         198          17          16
         199          16          11
         200           9          13
         201          11          11
