         201
         100         100
           1          50          26
           2          42          50
           3          26          49
           4          38          49
           5          49          33
           6          39          49
           7          44          49
           8          48          28
           9          40          48
          10          48          29
          11          44          48
          12          27          48
          13          36          48
          14          48          33
          15          48          26
          16          48          44
          17          31          48
          18          47          48
          19          38          48
          20          47          43
          21          44          47
          22          47          37
          23          47          44
          24          39          47
          25          47          31
          26          47          47
          27          47          36
          28          31          47
          29          47          38
          30          46          43
          31          28          46
          32          46           5
          33          40          46
          34          46          33
          35          46          26
          36          46          39
          37          34          46
          38          46          36
          39          36          46
          40          31          46
          41          46          31
          42          46          35
          43          45          25
          44          27          45
          45          39          45
          46          37          45
          47          45          38
          48          45          33
          49          27          45
          50          45          43
          51          45          39
          52          26          44
          53          30          44
          54          44          40
          55          44          37
          56          40          44
          57          37          44
          58          44          34
          59          44          33
          60          33          44
          61          44          42
          62          44          27
          63          38          44
          64          37          44
          65          44          32
          66          43          31
          67          43          26
          68          43          32
          69          34          43
          70          43          26
          71          43          31
          72          41          43
          73          43          36
          74          43          31
          75          43          32
          76          43          38
          77          43          36
          78          42          40
          79          40          42
          80          42          28
          81          37          42
          82          42          36
          83          42          39
          84          42          27
          85          42          35
          86          41          32
          87          12          41
          88          17          41
          89          34          41
          90          25          41
          91          41          32
          92          31          41
          93          41          35
          94          40          36
          95          40          31
          96          40          36
          97          40          34
          98          40          40
          99          14          40
         100          28          40
         101          25          40
         102          40          20
         103          36          40
         104          33          39
         105          39          30
         106          22          39
         107          36          39
         108          28          39
         109          39          34
         110          19          39
         111          20          38
         112          38          37
         113          26          38
         114          31          38
         115          38          29
         116          38          26
         117          36          38
         118          30          37
         119          30          37
         120          33          37
         121          37          33
         122          36          35
         123          34          36
         124          33          36
         125          36          33
         126          34          36
         127          36          33
         128          34          36
         129          36          25
         130          34          36
         131          36          27
         132          36          28
         133          36           7
         134          36          34
         135          36          26
         136          36          28
         137          32          35
         138          26          35
         139          29          35
         140          35          29
         141           6          34
         142          28          34
         143          34          28
         144          19          34
         145          23          33
         146          28          33
         147          33          28
         148           6          32
         149          32          24
         150          29          32
         151          11          31
         152          31          30
         153          31          19
         154          31          17
         155          26          31
         156          11          31
         157          31           5
         158          28          30
         159          26          30
         160          25          30
         161          30          30
         162          30          30
         163          29          26
         164          28          29
         165          21          29
         166          29          20
         167          25          29
         168          26          29
         169           7          29
         170          29          28
         171          29          28
         172          11          29
         173          28          28
         174          27          28
         175          28          15
         176          28          22
         177          28          17
         178          28          27
         179          27          28
         180          27          25
         181          15          27
         182          15          27
         183          23          27
         184          26          11
         185          21          26
         186          25          21
         187           9          25
         188          24          15
         189          21          24
         190          18          24
         191          14          23
         192          10          23
         193          14          23
         194          22           7
         195          20          18
         196          13          20
         197          20          18
         198          18          16
         199          17           3
         200           6          16
         201          13          15
