   100
  1000  1000
     1   126   294
     2   145   414
     3   671   319
     4   592   563
     5   132    36
     6   843   959
     7   618   889
     8   676   715
     9   575   658
    10   202   275
    11   780   453
    12   864   416
    13   344   718
    14   442   250
    15   712   232
    16    45   221
    17   661   105
    18   118   106
    19   304   780
    20   440    18
    21    83    39
    22   121   399
    23   776   988
    24   605    30
    25   496    76
    26   671    19
    27   686    79
    28   430   811
    29   125   107
    30   326   186
    31   922   605
    32   137   253
    33   524   352
    34   972   457
    35   706   457
    36   280   576
    37   582   367
    38   834   720
    39   594   858
    40   749   336
    41   521    42
    42   467   199
    43   474   363
    44   766   422
    45   898   598
    46   758   448
    47   569   859
    48   887    56
    49   600   591
    50   931   356
    51   435   571
    52     2   793
    53   851   910
    54   541   146
    55   959    54
    56   330   524
    57   206   778
    58   477   372
    59   366   195
    60   428   469
    61   553   749
    62   961   924
    63   210   218
    64   187   185
    65   115   713
    66   549    26
    67   379   678
    68   826   559
    69   447   891
    70   130   230
    71    96   464
    72   902   815
    73   438   840
    74   924   427
    75   917   798
    76   305   509
    77   311   448
    78   490   838
    79   731   236
    80   256   528
    81   621   937
    82   714    21
    83   759   666
    84   311    96
    85   257   864
    86   821   862
    87   558   311
    88   358   766
    89   441   117
    90   364   585
    91    17   726
    92   619   430
    93   728   917
    94   234   745
    95   356   801
    96   651   309
    97     9   822
    98   651   231
    99   133   757
   100   343   957
