    50
  1000  1000
     1   234   641
     2   275   376
     3   287   448
     4   602   391
     5   555   537
     6   279   221
     7   706   775
     8   571   733
     9   606   629
    10   545   595
    11   321   365
    12   668   472
    13   718   449
    14   406   631
    15   465   349
    16   627   339
    17   226   332
    18   597   262
    19   271   263
    20   382   668
    21   464   210
    22   249   223
    23   272   439
    24   666   793
    25   563   217
    26   497   245
    27   603   211
    28   612   247
    29   458   686
    30   275   264
    31   395   311
    32   753   563
    33   282   351
    34   514   411
    35   783   474
    36   623   474
    37   367   545
    38   549   420
    39   700   632
    40   556   715
    41   649   401
    42   512   225
    43   480   319
    44   484   417
    45   659   453
    46   738   559
    47   655   468
    48   541   715
    49   732   233
    50   560   555
