          51
         100         100
           1          35          50
           2          49          47
           3          38          49
           4          48          46
           5          48          28
           6          44          47
           7          28          46
           8          28          45
           9          45          28
          10          28          44
          11          44          40
          12          43          32
          13          43          41
          14          35          43
          15          43          26
          16          26          43
          17          42          40
          18          40          42
          19          42          28
          20          37          42
          21          42          36
          22          30          40
          23          29          39
          24          39          26
          25          39          30
          26          39          19
          27          27          39
          28          37          31
          29          33          37
          30          32          36
          31          34          36
          32          33          36
          33          35          33
          34          31          34
          35          33          28
          36          28          33
          37          22          32
          38          31          21
          39          31          31
          40          31          17
          41          30          28
          42          28          29
          43          18          29
          44          27          28
          45          23          27
          46          26          27
          47          25          27
          48          25          26
          49          24          17
          50          21          10
          51          11          11
