    50
   150   150
     1    30    43
     2    32    53
     3    74    45
     4    67    65
     5    30    23
     6    87    97
     7    69    91
     8    74    77
     9    66    73
    10    36    42
    11    82    56
    12    89    53
    13    47    77
    14    55    40
    15    77    38
    16    24    38
    17    73    28
    18    29    28
    19    44    82
    20    55    21
    21    27    23
    22    30    52
    23    82    99
    24    68    22
    25    60    26
    26    74    21
    27    75    26
    28    54    85
    29    30    28
    30    46    35
    31    94    68
    32    31    40
    33    62    48
    34    98    57
    35    76    57
    36    42    66
    37    66    49
    38    87    78
    39    67    89
    40    80    47
    41    62    23
    42    57    36
    43    58    49
    44    81    54
    45    92    68
    46    81    56
    47    66    89
    48    91    24
    49    68    67
    50    94    48
