    50
  1000  1000
     1    36    56
     2    75    49
     3    69    67
     4    35    28
     5    88    97
     6    71    92
     7    76    79
     8    68    74
     9    40    46
    10    83    59
    11    90    56
    12    51    79
    13    58    44
    14    78    42
    15    28    41
    16    75    33
    17    34    33
    18    48    84
    19    58    26
    20    31    28
    21    34    55
    22    83    99
    23    70    27
    24    62    31
    25    75    26
    26    76    31
    27    57    86
    28    34    33
    29    49    39
    30    94    70
    31    35    44
    32    64    51
    33    98    59
    34    78    59
    35    46    68
    36    69    52
    37    88    79
    38    70    89
    39    81    50
    40    64    28
    41    60    40
    42    61    52
    43    82    57
    44    92    70
    45    82    59
    46    68    89
    47    92    29
    48    70    69
    49    95    52
    50    58    68
