   200
   150   150
     1    43    32
     2    53    74
     3    45    67
     4    65    30
     5    23    87
     6    97    69
     7    91    74
     8    77    66
     9    73    36
    10    42    82
    11    56    89
    12    53    47
    13    77    55
    14    40    77
    15    38    24
    16    38    73
    17    28    29
    18    28    44
    19    82    55
    20    21    27
    21    23    30
    22    52    82
    23    99    68
    24    22    60
    25    26    74
    26    21    75
    27    26    54
    28    85    30
    29    28    46
    30    35    94
    31    68    31
    32    40    62
    33    48    98
    34    57    76
    35    57    42
    36    66    66
    37    49    87
    38    78    67
    39    89    80
    40    47    62
    41    23    57
    42    36    58
    43    49    81
    44    54    92
    45    68    81
    46    56    66
    47    89    91
    48    24    68
    49    67    94
    50    48    55
    51    66    20
    52    83    88
    53    93    63
    54    32    97
    55    24    46
    56    62    36
    57    82    58
    58    50    49
    59    36    54
    60    57    64
    61    80    97
    62    94    37
    63    37    35
    64    35    29
    65    77    64
    66    22    50
    67    74    86
    68    65    56
    69    91    30
    70    38    28
    71    57    92
    72    85    55
    73    87    94
    74    54    93
    75    84    44
    76    61    45
    77    56    59
    78    87    78
    79    39    40
    80    62    70
    81    95    77
    82    22    81
    83    73    45
    84    28    41
    85    89    86
    86    89    65
    87    45    49
    88    81    55
    89    29    49
    90    67    21
    91    78    69
    92    54    78
    93    93    39
    94    80    48
    95    84    72
    96    45    21
    97    86    72
    98    38    31
    99    81    47
   100    97    60
   101    77    34
   102    41    39
   103    32    93
   104    41    82
   105    86    75
   106    52    91
   107    90    94
   108    56    76
   109    77    53
   110    63    71
   111    31    41
   112    27    60
   113    40    93
   114    90    51
   115    61    32
   116    23    79
   117    74    26
   118    99    48
   119    90    31
   120    63    45
   121    63    29
   122    81    26
   123    56    29
   124    31    54
   125    78    67
   126    54    58
   127    84    45
   128    79    72
   129    57    51
   130    61    80
   131    85    42
   132    64    89
   133    44    79
   134    95    56
   135    76    92
   136    30    43
   137    30    36
   138    92    59
   139    22    52
   140    50    59
   141    34    71
   142    98    26
   143    74    48
   144    60    48
   145    99    44
   146    23    81
   147    90    69
   148    24    27
   149    57    79
   150    45    55
   151    34    55
   152    95    41
   153    85    86
   154    49    47
   155    58    48
   156    50    82
   157    69    84
   158    26    20
   159    99    42
   160    93    86
   161    78    37
   162    73    46
   163    42    52
   164    55    98
   165    52    96
   166    75    63
   167    37    44
   168    35    30
   169    33    38
   170    23    34
   171    23    88
   172    76    59
   173    95    69
   174    96    32
   175    44    44
   176    90    69
   177    93   100
   178    96    73
   179    91    34
   180    95    53
   181    73    67
   182    96    43
   183    21    50
   184    54    26
   185    25    97
   186    33    92
   187    40    30
   188    40    35
   189    49    99
   190    31    78
   191    59    98
   192    69    70
   193    27    91
   194    82    46
   195    94    86
   196    27    69
   197    31    39
   198    44    67
   199    32    91
   200    64    76
