    25
  1000  1000
     1   716   851
     2    57   736
     3   126   294
     4   145   414
     5   671   319
     6   592   563
     7   132    36
     8   843   959
     9   618   889
    10   676   715
    11   575   658
    12   202   275
    13   780   453
    14   864   416
    15   344   718
    16   442   250
    17   712   232
    18    45   221
    19   661   105
    20   118   106
    21   304   780
    22   440    18
    23    83    39
    24   121   399
    25   776   988
