    25
  1000  1000
     1   710   234
     2   641   275
     3   376   287
     4   448   602
     5   391   555
     6   537   279
     7   221   706
     8   775   571
     9   733   606
    10   629   545
    11   595   321
    12   365   668
    13   472   718
    14   449   406
    15   631   465
    16   349   627
    17   339   226
    18   332   597
    19   262   271
    20   263   382
    21   668   464
    22   210   249
    23   223   272
    24   439   666
    25   793   563
