    25
   150   150
     1    53    74
     2    45    67
     3    65    30
     4    23    87
     5    97    69
     6    91    74
     7    77    66
     8    73    36
     9    42    82
    10    56    89
    11    53    47
    12    77    55
    13    40    77
    14    38    24
    15    38    73
    16    28    29
    17    28    44
    18    82    55
    19    21    27
    20    23    30
    21    52    82
    22    99    68
    23    22    60
    24    26    74
    25    21    75
