   200
   150   150
     1    27    77
     2    88    24
     3    79    30
     4    43    32
     5    53    74
     6    45    67
     7    65    30
     8    23    87
     9    97    69
    10    91    74
    11    77    66
    12    73    36
    13    42    82
    14    56    89
    15    53    47
    16    77    55
    17    40    77
    18    38    24
    19    38    73
    20    28    29
    21    28    44
    22    82    55
    23    21    27
    24    23    30
    25    52    82
    26    99    68
    27    22    60
    28    26    74
    29    21    75
    30    26    54
    31    85    30
    32    28    46
    33    35    94
    34    68    31
    35    40    62
    36    48    98
    37    57    76
    38    57    42
    39    66    66
    40    49    87
    41    78    67
    42    89    80
    43    47    62
    44    23    57
    45    36    58
    46    49    81
    47    54    92
    48    68    81
    49    56    66
    50    89    91
    51    24    68
    52    67    94
    53    48    55
    54    66    20
    55    83    88
    56    93    63
    57    32    97
    58    24    46
    59    62    36
    60    82    58
    61    50    49
    62    36    54
    63    57    64
    64    80    97
    65    94    37
    66    37    35
    67    35    29
    68    77    64
    69    22    50
    70    74    86
    71    65    56
    72    91    30
    73    38    28
    74    57    92
    75    85    55
    76    87    94
    77    54    93
    78    84    44
    79    61    45
    80    56    59
    81    87    78
    82    39    40
    83    62    70
    84    95    77
    85    22    81
    86    73    45
    87    28    41
    88    89    86
    89    89    65
    90    45    49
    91    81    55
    92    29    49
    93    67    21
    94    78    69
    95    54    78
    96    93    39
    97    80    48
    98    84    72
    99    45    21
   100    86    72
   101    38    31
   102    81    47
   103    97    60
   104    77    34
   105    41    39
   106    32    93
   107    41    82
   108    86    75
   109    52    91
   110    90    94
   111    56    76
   112    77    53
   113    63    71
   114    31    41
   115    27    60
   116    40    93
   117    90    51
   118    61    32
   119    23    79
   120    74    26
   121    99    48
   122    90    31
   123    63    45
   124    63    29
   125    81    26
   126    56    29
   127    31    54
   128    78    67
   129    54    58
   130    84    45
   131    79    72
   132    57    51
   133    61    80
   134    85    42
   135    64    89
   136    44    79
   137    95    56
   138    76    92
   139    30    43
   140    30    36
   141    92    59
   142    22    52
   143    50    59
   144    34    71
   145    98    26
   146    74    48
   147    60    48
   148    99    44
   149    23    81
   150    90    69
   151    24    27
   152    57    79
   153    45    55
   154    34    55
   155    95    41
   156    85    86
   157    49    47
   158    58    48
   159    50    82
   160    69    84
   161    26    20
   162    99    42
   163    93    86
   164    78    37
   165    73    46
   166    42    52
   167    55    98
   168    52    96
   169    75    63
   170    37    44
   171    35    30
   172    33    38
   173    23    34
   174    23    88
   175    76    59
   176    95    69
   177    96    32
   178    44    44
   179    90    69
   180    93   100
   181    96    73
   182    91    34
   183    95    53
   184    73    67
   185    96    43
   186    21    50
   187    54    26
   188    25    97
   189    33    92
   190    40    30
   191    40    35
   192    49    99
   193    31    78
   194    59    98
   195    69    70
   196    27    91
   197    82    46
   198    94    86
   199    27    69
   200    31    39
