          51
         100         100
           1          50          26
           2          26          49
           3          48          28
           4          47          43
           5          44          47
           6          47          37
           7          46          43
           8          28          46
           9          46           5
          10          45          25
          11          27          45
          12          26          44
          13          30          44
          14          44          40
          15          44          37
          16          43          26
          17          43          31
          18          43          26
          19          42          40
          20          40          42
          21          42          28
          22          37          42
          23          42          36
          24          41          32
          25          12          41
          26          40          36
          27          40          31
          28          33          39
          29          39          30
          30          22          39
          31          20          38
          32          36          35
          33          34          36
          34          33          36
          35          36          33
          36          32          35
          37          26          35
          38           6          34
          39          23          33
          40          28          33
          41          11          31
          42          31          30
          43          31          19
          44          28          30
          45          28          29
          46          28          28
          47          27          28
          48          27          25
          49          25          21
          50          20          18
          51          13          15
