          51
         100         100
           1          50          26
           2          26          49
           3          38          49
           4          48          28
           5          47          43
           6          44          47
           7          47          37
           8          28          46
           9          46           5
          10          45          25
          11          27          45
          12          26          44
          13          30          44
          14          44          40
          15          44          37
          16          43          31
          17          43          26
          18          42          40
          19          40          42
          20          42          28
          21          37          42
          22          42          36
          23          41          32
          24          12          41
          25          40          36
          26          40          31
          27          33          39
          28          39          30
          29          22          39
          30          20          38
          31          36          35
          32          34          36
          33          33          36
          34          36          33
          35          34          36
          36          32          35
          37          26          35
          38           6          34
          39          23          33
          40          28          33
          41          31          30
          42          31          19
          43          28          30
          44          28          29
          45          28          28
          46          27          28
          47          28          15
          48          27          25
          49          25          21
          50          20          18
          51          13          15
